Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,34.057499,34.187500,33.994999,34.174999,32.506954,98028800
2017-02-22,34.107498,34.279999,34.027500,34.277500,32.604443,83347600
2017-02-23,34.345001,34.369999,34.075001,34.132500,32.466526,83152800
2017-02-24,33.977501,34.165001,33.820000,34.165001,32.497440,87106400
2017-02-27,34.285000,34.360001,34.070000,34.232498,32.561634,81029600
2017-02-28,34.270000,34.360001,34.174999,34.247501,32.575912,93931600
2017-03-01,34.472500,35.037498,34.400002,34.947498,33.241737,145658400
2017-03-02,35.000000,35.070000,34.689999,34.740002,33.044365,104844000
2017-03-03,34.695000,34.957500,34.647499,34.945000,33.239365,84432400
2017-03-06,34.842499,34.942501,34.650002,34.834999,33.134731,87000000
2017-03-07,34.764999,34.994999,34.697498,34.880001,33.177540,69785200
2017-03-08,34.737499,34.950001,34.705002,34.750000,33.053875,74828800
2017-03-09,34.685001,34.697498,34.262501,34.669998,32.977787,88623600
2017-03-10,34.812500,34.840000,34.660000,34.785000,33.087177,78451200
2017-03-13,34.712502,34.857498,34.705002,34.799999,33.101433,69686800
2017-03-14,34.825001,34.912498,34.709999,34.747501,33.051506,61236400
2017-03-15,34.852501,35.187500,34.757500,35.115002,33.401066,102767200
2017-03-16,35.180000,35.255001,35.064999,35.172501,33.455753,76928000
2017-03-17,35.250000,35.250000,34.972500,34.997501,33.289303,175540000
2017-03-20,35.099998,35.375000,35.057499,35.365002,33.638859,86168000
2017-03-21,35.527500,35.700001,34.932499,34.959999,33.253632,158119600
2017-03-22,34.962502,35.400002,34.939999,35.355000,33.629349,103440800
2017-03-23,35.314999,35.395000,35.152500,35.230000,33.510456,81385200
2017-03-24,35.375000,35.435001,35.087502,35.160000,33.443871,89582400
2017-03-27,34.847500,35.305000,34.654999,35.220001,33.500942,94300400
2017-03-28,35.227501,36.009998,35.154999,35.950001,34.195309,133499200
2017-03-29,35.919998,36.122501,35.797501,36.029999,34.271400,116760000
2017-03-30,36.047501,36.125000,35.875000,35.982498,34.226219,84829200
2017-03-31,35.930000,36.067501,35.752499,35.915001,34.162018,78646800
2017-04-03,35.927502,36.029999,35.762501,35.924999,34.171520,79942800
2017-04-04,35.812500,36.222500,35.792500,36.192501,34.425976,79565600
2017-04-05,36.055000,36.365002,35.952499,36.005001,34.247623,110871600
2017-04-06,36.072498,36.130001,35.862499,35.915001,34.162018,84596000
2017-04-07,35.932499,36.044998,35.817501,35.834999,34.085918,66688800
2017-04-10,35.900002,35.970001,35.724998,35.792500,34.045498,75733600
2017-04-11,35.735001,35.837502,35.014999,35.407501,33.679287,121517600
2017-04-12,35.400002,35.537498,35.252499,35.450001,33.719711,81400000
2017-04-13,35.477501,35.595001,35.262501,35.262501,33.541363,71291600
2017-04-17,35.369999,35.470001,35.217499,35.457500,33.726852,66328400
2017-04-18,35.352501,35.509998,35.277500,35.299999,33.577038,58790000
2017-04-19,35.470001,35.500000,35.112499,35.169998,33.453377,69313600
2017-04-20,35.305000,35.730000,35.290001,35.610001,33.871906,93278400
2017-04-21,35.610001,35.669998,35.462502,35.567501,33.831474,69283600
2017-04-24,35.875000,35.987499,35.794998,35.910000,34.157269,68537200
2017-04-25,35.977501,36.224998,35.967499,36.132500,34.368900,75486000
2017-04-26,36.117500,36.150002,35.845001,35.919998,34.166775,80164800
2017-04-27,35.980000,36.040001,35.827499,35.947498,34.192936,56985200
2017-04-28,36.022499,36.075001,35.817501,35.912498,34.159637,83441600
2017-05-01,36.275002,36.799999,36.240002,36.645000,34.856388,134411600
2017-05-02,36.884998,37.022499,36.709999,36.877499,35.077541,181408800
2017-05-03,36.397499,36.872501,36.067501,36.764999,34.970528,182788000
2017-05-04,36.630001,36.785000,36.452499,36.632500,34.844486,93487600
2017-05-05,36.689999,37.244999,36.689999,37.240002,35.422344,109310800
2017-05-08,37.257500,38.424999,37.257500,38.252499,36.385422,195009600
2017-05-09,38.467499,38.720001,38.362499,38.497501,36.618469,156521600
2017-05-10,38.407501,38.485001,38.027500,38.314999,36.444874,103222800
2017-05-11,38.112499,38.517502,38.077499,38.487499,36.760059,109020400
2017-05-12,38.674999,39.105000,38.667500,39.025002,37.273441,130108000
2017-05-15,39.002499,39.162498,38.762501,38.924999,37.177921,104038800
2017-05-16,38.985001,39.014999,38.680000,38.867500,37.123013,80194000
2017-05-17,38.400002,38.642502,37.427502,37.562500,35.876579,203070800
2017-05-18,37.817501,38.334999,37.782501,38.134998,36.423378,134272800
2017-05-19,38.345001,38.494999,38.157501,38.264999,36.547546,107843200
2017-05-22,38.500000,38.645000,38.227501,38.497501,36.769615,91865600
2017-05-23,38.724998,38.724998,38.327499,38.450001,36.724239,79675600
2017-05-24,38.459999,38.542500,38.167500,38.334999,36.614414,76712000
2017-05-25,38.432499,38.587502,38.257500,38.467499,36.740955,76942400
2017-05-26,38.500000,38.560001,38.327499,38.402500,36.678879,87710400
2017-05-30,38.355000,38.607498,38.332500,38.417500,36.693203,80507600
2017-05-31,38.492500,38.542500,38.095001,38.189999,36.475906,97804800
2017-06-01,38.292500,38.332500,38.055000,38.294998,36.576199,65616400
2017-06-02,38.395000,38.862499,38.222500,38.862499,37.118225,111082800
2017-06-05,38.584999,38.612499,38.365002,38.482498,36.755287,101326800
2017-06-06,38.474998,38.952499,38.445000,38.612499,36.879452,106499600
2017-06-07,38.755001,38.994999,38.619999,38.842499,37.099125,84278400
2017-06-08,38.812500,38.884998,38.599998,38.747501,37.008389,85003200
2017-06-09,38.797501,38.797501,36.505001,37.244999,35.573322,259530800
2017-06-12,36.435001,36.522499,35.627499,36.355000,34.723278,289229200
2017-06-13,36.790001,36.862499,36.287498,36.647499,35.002644,136661600
2017-06-14,36.875000,36.875000,35.959999,36.290001,34.661194,126124800
2017-06-15,35.830002,36.119999,35.552502,36.072498,34.453453,128661600
2017-06-16,35.945000,36.125000,35.549999,35.567501,33.971119,201444400
2017-06-19,35.915001,36.685001,35.915001,36.584999,34.942951,130165600
2017-06-20,36.717499,36.717499,36.235001,36.252499,34.625374,99600400
2017-06-21,36.380001,36.517502,36.152500,36.467499,34.830727,85063200
2017-06-22,36.442501,36.674999,36.279999,36.407501,34.773426,76425200
2017-06-23,36.282501,36.790001,36.277500,36.570000,34.928623,141757600
2017-06-26,36.792500,37.070000,36.345001,36.455002,34.818787,102769600
2017-06-27,36.252499,36.540001,35.904999,35.932499,34.319733,99047600
2017-06-28,36.122501,36.527500,35.790001,36.457500,34.821175,88329600
